threshold,precision,recall,specificity,f1_score
0.0,0.1969,1.0,0.0,0.329
0.0015,0.203,1.0,0.0374,0.3375
0.0017,0.2033,1.0,0.0393,0.338
0.0019,0.2038,1.0,0.0421,0.3386
0.0022,0.2035,0.9961,0.0441,0.338
0.0022,0.2042,0.9961,0.0479,0.3389
0.0027,0.2043,0.9961,0.0489,0.3391
0.0029,0.2058,0.9961,0.0575,0.3411
0.003,0.206,0.9961,0.0584,0.3414
0.0031,0.2068,0.9961,0.0632,0.3425
0.0031,0.2075,0.9961,0.067,0.3434
0.0033,0.2077,0.9961,0.068,0.3437
0.004,0.2088,0.9961,0.0747,0.3453
0.0045,0.209,0.9961,0.0757,0.3455
0.0045,0.2092,0.9961,0.0766,0.3458
0.0046,0.2097,0.9961,0.0795,0.3465
0.0047,0.2099,0.9961,0.0805,0.3467
0.0047,0.21,0.9961,0.0814,0.3469
0.0048,0.2102,0.9961,0.0824,0.3472
0.0049,0.2104,0.9961,0.0833,0.3474
0.0049,0.2106,0.9961,0.0843,0.3476
0.0049,0.2109,0.9961,0.0862,0.3481
0.005,0.2113,0.9961,0.0881,0.3486
0.0052,0.2114,0.9961,0.0891,0.3488
0.0052,0.2116,0.9961,0.09,0.3491
0.0053,0.2118,0.9961,0.091,0.3493
0.0053,0.212,0.9961,0.092,0.3496
0.0054,0.2121,0.9961,0.0929,0.3498
0.0054,0.2123,0.9961,0.0939,0.35
0.0054,0.2125,0.9961,0.0948,0.3503
0.0056,0.213,0.9961,0.0977,0.351
0.0056,0.2134,0.9961,0.0996,0.3515
0.0058,0.2139,0.9961,0.1025,0.3522
0.006,0.2141,0.9961,0.1034,0.3525
0.006,0.2143,0.9961,0.1044,0.3527
0.0062,0.2156,0.9961,0.1111,0.3544
0.0063,0.2157,0.9961,0.1121,0.3547
0.0063,0.2159,0.9961,0.113,0.3549
0.0064,0.2163,0.9961,0.1149,0.3554
0.0066,0.2167,0.9961,0.1169,0.3559
0.0067,0.2168,0.9961,0.1178,0.3561
0.0068,0.217,0.9961,0.1188,0.3564
0.007,0.2172,0.9961,0.1197,0.3566
0.0073,0.2174,0.9961,0.1207,0.3569
0.0073,0.2176,0.9961,0.1216,0.3571
0.0074,0.2178,0.9961,0.1226,0.3574
0.0076,0.2179,0.9961,0.1236,0.3576
0.0077,0.2183,0.9961,0.1255,0.3581
0.0078,0.2185,0.9961,0.1264,0.3584
0.0079,0.2187,0.9961,0.1274,0.3586
0.008,0.2189,0.9961,0.1284,0.3589
0.0083,0.2191,0.9961,0.1293,0.3592
0.0083,0.2194,0.9961,0.1312,0.3597
0.0084,0.22,0.9961,0.1341,0.3604
0.0084,0.2202,0.9961,0.1351,0.3607
0.0086,0.2204,0.9961,0.136,0.3609
0.0087,0.2206,0.9961,0.137,0.3612
0.0087,0.2208,0.9961,0.1379,0.3614
0.0089,0.221,0.9961,0.1389,0.3617
0.0089,0.2212,0.9961,0.1398,0.362
0.009,0.2214,0.9961,0.1408,0.3622
0.0091,0.2217,0.9961,0.1427,0.3627
0.0093,0.2219,0.9961,0.1437,0.363
0.0095,0.2221,0.9961,0.1446,0.3632
0.0096,0.2223,0.9961,0.1456,0.3635
0.0099,0.2225,0.9961,0.1466,0.3638
0.01,0.2227,0.9961,0.1475,0.364
0.01,0.2229,0.9961,0.1485,0.3643
0.0102,0.2231,0.9961,0.1494,0.3645
0.0103,0.2233,0.9961,0.1504,0.3648
0.0103,0.2237,0.9961,0.1523,0.3653
